-5,-5,-5,-5,-2,343044.0
-5,-5,-5,-5,-1,337744.0
-5,-5,-5,-5,4,314244.0
-5,-5,-5,-4,-5,308333.0
-5,-5,-5,-4,-3,300333.0
-5,-5,-5,-4,1,286733.0
-5,-5,-5,-2,-1,255517.0
-5,-5,-5,-2,1,253917.0
-5,-5,-5,-2,4,253017.0
-5,-5,-5,1,-2,238608.0
-5,-5,-5,1,4,238608.0
-5,-5,-5,1,5,239308.0
-5,-5,-5,2,-3,237909.0
-5,-5,-5,2,0,234609.0
-5,-5,-5,2,4,233009.0
-5,-5,-5,3,-4,245412.0
-5,-5,-5,3,-2,240612.0
-5,-5,-5,3,1,234912.0
-5,-5,-5,4,-4,264217.0
-5,-5,-5,4,-1,253117.0
-5,-5,-5,4,0,249817.0
-5,-5,-5,4,5,236317.0
-5,-5,-5,5,1,277724.0
-5,-5,-5,5,3,268524.0
-5,-5,-5,5,4,264224.0
-5,-5,-4,-5,5,258333.0
-5,-5,-4,-4,-1,243122.0
-5,-5,-4,-4,3,231122.0
-5,-5,-4,-3,-2,222413.0
-5,-5,-4,-2,-5,214706.0
-5,-5,-4,-1,-4,205601.0
-5,-5,-4,-1,-1,203501.0
-5,-5,-4,0,-3,200698.0
-5,-5,-4,0,-2,200198.0
-5,-5,-4,1,-4,199197.0
-5,-5,-4,1,4,197597.0
-5,-5,-4,2,-4,200198.0
-5,-5,-4,2,-2,197398.0
-5,-5,-4,2,1,194698.0
-5,-5,-4,2,3,193898.0
-5,-5,-4,3,-3,205501.0
-5,-5,-4,4,-2,221006.0
-5,-5,-4,5,3,234713.0
-5,-5,-3,-5,1,245724.0
-5,-5,-3,-4,-3,221513.0
-5,-5,-3,-3,2,187804.0
-5,-5,-3,-1,-5,182092.0
-5,-5,-3,-1,-4,180992.0
-5,-5,-3,-1,-2,179392.0
-5,-5,-3,0,-1,176689.0
-5,-5,-3,1,-1,175288.0
-5,-5,-3,1,2,174988.0
-5,-5,-3,3,-5,191692.0
-5,-5,-3,4,-2,203397.0
-5,-5,-3,4,1,193497.0
-5,-5,-3,4,3,187897.0
-5,-5,-2,-5,-2,244017.0
-5,-5,-2,-4,0,195006.0
-5,-5,-2,-4,2,189006.0
-5,-5,-2,-3,-2,179997.0
-5,-5,-2,-2,2,166990.0
-5,-5,-2,-2,3,166690.0
-5,-5,-2,-1,-5,169085.0
-5,-5,-2,-1,-3,167085.0
-5,-5,-2,-1,-1,165885.0
