-5,-5,-4,174172.0
-5,-5,-1,157672.0
-5,-3,5,80052.0
-5,-2,1,73845.0
-5,-2,5,73045.0
-5,-1,-3,69240.0
-5,-1,0,67740.0
-5,1,-5,61236.0
-5,1,-3,59236.0
-5,2,-5,61037.0
-5,2,5,53037.0
-5,3,1,54840.0
-5,4,-5,88245.0
-5,5,-1,107652.0
-4,-5,-3,122561.0
-4,-5,3,92561.0
-4,-4,-3,76150.0
-4,-4,1,62550.0
-4,-3,5,37741.0
-4,-2,-5,40534.0
-4,-2,-4,38834.0
-4,-1,0,29029.0
-4,-1,1,28929.0
-4,-1,4,29829.0
-4,0,0,25626.0
-4,0,1,25726.0
-4,0,5,28126.0
-4,1,-5,26125.0
-4,1,0,22625.0
-4,1,1,22525.0
-4,1,2,22625.0
-4,1,3,22925.0
-4,2,3,19726.0
-4,2,4,19626.0
-4,3,-1,26929.0
-4,3,3,20529.0
-4,4,-3,50534.0
-4,4,0,40034.0
-4,5,-1,79741.0
-4,5,3,60541.0
-4,5,5,52141.0
-3,-5,3,68052.0
-3,-4,-5,61041.0
-3,-4,0,42541.0
-3,-4,4,31341.0
-3,-3,-3,28832.0
-3,-2,-3,17025.0
-3,-2,4,12125.0
-3,0,-3,9017.0
-3,0,4,9717.0
-3,1,1,6416.0
-3,2,-5,13017.0
-3,2,-1,7417.0
-3,2,0,6517.0
-3,2,3,5017.0
-3,3,-5,23220.0
-3,3,3,7220.0
-3,5,-4,85732.0
-2,-4,-4,46434.0
-2,-3,-3,19325.0
-2,-3,2,9825.0
-2,-3,3,8525.0
-2,-2,-5,11718.0
-2,-2,2,4018.0
-2,-2,4,3618.0
-2,-1,-3,4113.0
-2,-1,0,2613.0
-2,0,-4,3210.0
-2,0,-3,2510.0
-2,0,-2,2010.0
-2,0,0,1610.0
-2,0,2,2010.0
-2,0,3,2510.0
-2,1,-2,1809.0
-2,1,0,1009.0
-2,3,-2,12213.0
-2,4,-5,44118.0
-2,4,-1,28918.0
-1,-5,3,52040.0
-1,-4,-2,34929.0
-1,-3,-4,18520.0
-1,-3,1,8020.0
-1,-3,2,6520.0
-1,-2,-4,7313.0
-1,-2,-3,5813.0
-1,-2,3,1013.0
-1,-2,4,913.0
-1,-1,0,508.0
-1,-1,5,2008.0
-1,1,1,4.0
-1,1,4,904.0
-1,3,2,5308.0
-1,3,3,4008.0
-1,4,-1,29813.0
-1,5,2,54520.0
0,-5,0,65037.0
0,-5,3,50937.0
0,-4,0,27226.0
0,-4,1,24126.0
0,-3,-5,20517.0
0,-3,-3,15317.0
0,-3,-2,13017.0
0,-3,0,9017.0
0,-3,2,5817.0
0,-2,-4,6810.0
0,-2,-1,2910.0
0,-2,0,2010.0
0,-2,3,510.0
0,-2,5,510.0
0,-1,-5,3705.0
0,-1,4,1005.0
0,0,-5,2502.0
0,1,1,101.0
0,2,-4,6802.0
0,3,-4,17805.0
0,3,-3,15305.0
0,3,5,2505.0
0,4,-2,34010.0
0,4,3,18510.0
0,4,4,16010.0
1,-5,-1,71236.0
1,-5,0,66136.0
1,-5,1,61236.0
1,-4,-2,34925.0
1,-4,-1,31425.0
1,-4,2,22125.0
1,-3,-4,18516.0
1,-3,-2,13716.0
1,-2,-4,7309.0
1,-2,-1,3409.0
1,-2,3,1009.0
1,-1,-4,2904.0
1,0,-2,501.0
1,0,2,501.0
1,0,3,1001.0
1,0,4,1701.0
1,0,5,2601.0
1,1,3,400.0
1,1,5,1600.0
1,2,-4,6501.0
1,2,-1,2601.0
1,2,4,101.0
1,3,-5,20004.0
1,4,0,26509.0
1,4,1,23409.0
1,5,-4,85716.0
2,-5,-4,92237.0
2,-5,-1,75737.0
2,-5,3,56537.0
2,-4,3,23326.0
2,-4,5,18526.0
2,-3,-5,24517.0
2,-3,-4,21817.0
2,-3,-1,14917.0
2,-3,1,11317.0
2,-2,2,4010.0
2,-2,3,3710.0
2,-1,-5,6105.0
2,-1,-4,5005.0
2,0,-4,3202.0
2,0,-1,1702.0
2,0,1,1702.0
2,0,5,4102.0
2,1,-5,4501.0
2,1,4,1801.0
2,2,-4,6802.0
2,2,-1,2902.0
2,2,0,2002.0
2,2,4,402.0
2,3,2,5005.0
2,4,-4,40010.0
2,4,1,22510.0
2,5,-5,90117.0
3,-5,-3,98040.0
