-5,-5,90036.0
-5,-4,84136.0
-5,-3,78436.0
-5,-2,72936.0
-5,-1,67636.0
-5,0,62536.0
-5,1,57636.0
-5,2,52936.0
-5,3,48436.0
-5,4,44136.0
-5,5,40036.0
-4,-5,44125.0
-4,-4,40025.0
-4,-3,36125.0
-4,-2,32425.0
-4,-1,28925.0
-4,0,25625.0
-4,1,22525.0
-4,2,19625.0
-4,3,16925.0
-4,4,14425.0
-4,5,12125.0
-3,-5,19616.0
-3,-4,16916.0
-3,-3,14416.0
-3,-2,12116.0
-3,-1,10016.0
-3,0,8116.0
-3,1,6416.0
-3,2,4916.0
-3,3,3616.0
-3,4,2516.0
-3,5,1616.0
-2,-5,8109.0
-2,-4,6409.0
-2,-3,4909.0
-2,-2,3609.0
-2,-1,2509.0
-2,0,1609.0
-2,1,909.0
-2,2,409.0
-2,3,109.0
-2,4,9.0
-2,5,109.0
-1,-5,3604.0
-1,-4,2504.0
-1,-3,1604.0
-1,-2,904.0
-1,-1,404.0
-1,0,104.0
-1,1,4.0
-1,2,104.0
-1,3,404.0
-1,4,904.0
-1,5,1604.0
0,-5,2501.0
0,-4,1601.0
0,-3,901.0
0,-2,401.0
0,-1,101.0
0,0,1.0
0,1,101.0
0,2,401.0
0,3,901.0
0,4,1601.0
0,5,2501.0
1,-5,3600.0
1,-4,2500.0
1,-3,1600.0
1,-2,900.0
1,-1,400.0
1,0,100.0
1,1,0.0
1,2,100.0
1,3,400.0
1,4,900.0
1,5,1600.0
2,-5,8101.0
2,-4,6401.0
2,-3,4901.0
2,-2,3601.0
2,-1,2501.0
2,0,1601.0
2,1,901.0
2,2,401.0
2,3,101.0
2,4,1.0
2,5,101.0
3,-5,19604.0
3,-4,16904.0
3,-3,14404.0
3,-2,12104.0
3,-1,10004.0
3,0,8104.0
3,1,6404.0
3,2,4904.0
3,3,3604.0
3,4,2504.0
3,5,1604.0
4,-5,44109.0
4,-4,40009.0
4,-3,36109.0
4,-2,32409.0
4,-1,28909.0
4,0,25609.0
4,1,22509.0
4,2,19609.0
4,3,16909.0
4,4,14409.0
4,5,12109.0
5,-5,90016.0
5,-4,84116.0
5,-3,78416.0
5,-2,72916.0
5,-1,67616.0
5,0,62516.0
5,1,57616.0
5,2,52916.0
5,3,48416.0
5,4,44116.0
5,5,40016.0
